RowIdx,Attribute1,Attribute2,Attribute3,Attribute4,OutputClass
1,19.29,31.5,0,428.5,0
2,20.39,30.2,0,726,0
3,19.52,27.36,392.5,486.75,0
4,21,24.89,0,445.5,0
5,20.6,22.13,0,445.75,0
6,20.89,25.34,0,529,0
7,20,18.7,0,437,0
8,22.1,20.13,554.33,767.67,1
9,20.29,36.29,74,513,0
10,19.5,26.7,0,474,0
11,20.39,27.65,0,845,0
12,20.7,24.5,0,474.25,0
13,20.29,32.9,0,464,0
14,20.89,30.7,0,1133,0
15,22.36,25.13,661.67,582,1
16,19.89,18.95,0,442.5,0
17,20.39,30.2,0,719,0
18,19.6,19.5,41.5,453.5,0
19,21.1,23.36,0,519.5,0
20,19.79,26.6,36.67,418.67,0
21,19.6,36.5,0,499,0
22,21.13,33.1,458,1371,1
23,20.39,18.7,0,439,0
24,21,24.6,0,439.5,0
25,20,32.09,0,582,0
26,20.39,32.84,0,663,0
27,20.34,35.2,90,503.5,0
28,19.29,26.89,0,458,0
29,21.05,27.05,0,568,0
30,20.29,31.29,0,713,0
31,20.7,20.52,14,442.75,0
32,19.39,31.05,0,437,0
33,20.79,18.84,220.75,458.4,0
34,19.39,26.7,0,472,0
35,21.6,34.48,462.75,1419.75,1
36,20.79,26.5,0,1516,0
37,21.7,28.1,0,584.5,0
38,20,25.05,0,441,0
39,20.5,23.2,0,599,0
40,20.2,33,0,444,0
41,19.79,19,0,436,0
42,20.1,32.74,0,500.5,0
43,21.39,33.09,13,1222,0
44,21.39,33.07,26.5,1201.25,0
45,22.5,29.7,474.5,596.75,1
46,19.29,31.55,0,433.5,0
47,21.2,36.2,0,1356,0
48,20.68,22.27,0,452,0
49,20.57,27.16,0,499,0
50,21.63,21,433,791.5,1
51,19.25,31.15,17,439,0
52,21.32,20.86,460,797.33,1
53,20.29,33.05,0,454,0
54,22.1,34.52,459,1334.5,1
55,22.2,20.72,530.5,827,1
56,19.63,26.73,31,426,0
57,21.84,23.75,0,805,0
58,20.1,33,0,447,0
59,23.03,28.57,341.33,633,0
60,20.79,26.75,0,1499,0
61,21.5,23.26,0,725.5,0
62,20.6,25.75,0,561.5,0
63,20.7,24.79,0,488,0
64,21.77,29.72,429,936.5,1
65,19.29,31.6,0,431,0
66,22.13,34.37,438,1528.5,1
67,20.29,32.95,0,465,0
68,20,33.4,0,505.5,0
69,22.1,38.27,428.33,1894.33,1
70,20.57,32.5,14,673,0
71,21.29,30.2,0,846,0
72,21.02,23.29,0,516.5,0
73,19.89,34.5,0,546.5,0
74,21,27.1,424,995,1
75,20.36,22.7,0,429.5,0
76,20.7,31.72,438,1102.5,1
77,21.7,24.7,487.5,833.25,1
78,20.5,21.2,0,453,0
79,20.29,22.7,0,437.75,0
80,20.89,23.1,0,494.5,0
81,19.45,26.65,0,468.5,0
82,20.6,34.59,24,514,0
83,21.17,30,0,618.67,0
84,20.89,23.29,0,448.5,0
85,19.89,35.2,0,532.25,0
86,22.6,25.1,425.4,832.4,1
